186: 67, 120, 254, 307,
187: 51, 79, 93, 95,
188: 8, 13, 29, 34,
189: 9, 21, 39, 49,
190: 626861, 2121627, 3182252, 3749140,
191: 5, 7, 17, 19,
192: 13897, 19492, 20459, 22968,
193: 484, 5350, 6209, 6401,
194: 4, 11, 14, 19,
195: 13, 15, 41, 43,
196: 1267, 16654, 17920, 20692,
197: 10, 13, 17, 23,
198: 3662, 8425, 10546, 13224,
199: 9, 11, 29, 31,
200: 68, 133, 268, 269,
201: 809, 1009, 2425, 2625,
202: 57, 146, 260, 349,
203: 5, 7, 14, 16,
204: 81, 124, 286, 329,
205: 25, 361, 413, 617,
206: 22, 47, 91, 116,
207: 25, 27, 77, 79,
208: 56, 153, 186, 265,
209: 4, 6, 8, 11,
210:
211: 100, 105, 107, 317,
212: 70, 143, 149, 179,
213: 57, 73, 181, 429,
214: 44, 171, 259, 386,
215: 5, 7, 17, 19,
216: 92, 125, 309, 342,
217: 337, 353, 409, 441,
218: 74, 145, 293, 364,
219: 9, 11, 21, 23,
220: 103, 118, 324, 339,
221: 13, 17, 37, 38,
222: 88530, 90091, 282094, 514016,
223: 13, 15, 41, 43,
224: 4, 11, 19, 26,
225: 3617, 3841, 10849, 11073,
226: 820, 12790, 50257, 53398,
227: 5, 7, 17, 19,
228: 16718, 33891, 35267, 41219,
229: 9, 21, 24, 49,
230: 8, 10, 13, 23,
231: 57, 59, 173, 175,
232: 27760, 72817, 98791, 100576,
233: 14, 17, 25, 53,
234: 46, 189, 281, 424,
235: 64, 117, 119, 172,
236: 80, 157, 317, 394,
237: 29, 33, 41, 50,
238: 17926, 34810, 93628, 99094,
239: 4, 5, 7, 9,
240: 2952972, 2985025, 3695736, 4812046,
241: 65, 177, 417, 529,
242: 14, 73, 101, 116,
243: 121, 123, 365, 367,
244: 6, 29, 41, 64,
245: 13, 17, 37, 40,
246: 77, 170, 324, 417,
247: 61, 63, 185, 187,
248: 82, 167, 331, 416,
249: 41, 49, 121, 129,
250: 9655, 10039, 19828, 23344,
251: 5, 7, 8, 13,
252: 45, 47, 177, 208,
253: 149, 221, 509, 697,
254: 4, 11, 16, 19,
255: 73, 993, 1559, 1639,
256: 100, 172, 211, 295,
512: 14, 20, 37, 38,
1024: 81, 121, 124, 169,
2048: 29, 682, 1367, 1528,
4096: 172, 334, 343, 676,
8192: 28, 158, 476, 584,
16384: 59, 86, 114, 204,
32768: 10, 14, 23, 43,
65536: 100, 172, 211, 295,
